streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
5118 Northridge Dr,Houston,TX,77033,29.670452,-95.346176,$130000,3bd,1ba,1170 sqft
Rome II Plan in Cambridge Heights,Houston,TX,77045,29.664312,-95.39983,$352990+,3bd,4ba,2361 sqft
15511 Dawnbrook Dr,Houston,TX,77068,30.010056,-95.48883,$339900,5bd,4ba,3807 sqft
910 Snover St #A,Houston,TX,77007,29.769598,-95.4047,$489000,3bd,4ba,1932 sqft
7513 Hirsch Rd,Houston,TX,77016,29.828009,-95.329155,$120000,3bd,1ba,1134 sqft
20722 Northcreek Ln,Houston,TX,77073,30.009197,-95.388214,$193750,4bd,3ba,2869 sqft
12511 Enchanted Path Dr,Houston,TX,77044,29.853455,-95.21154,$102300,3bd,2ba,1525 sqft
7826 Granite Ridge Ln,Houston,TX,77095,29.89424,-95.6699,$244900,4bd,3ba,2565 sqft
4222 Tranquil View Dr,Houston,TX,77084,29.833984,-95.691795,$249990,3bd,2ba,2285 sqft
15519 Dawnbrook Dr,Houston,TX,77068,30.010422,-95.48911,$249990,4bd,4ba,3296 sqft
5123 Heatherbloom Dr,Houston,TX,77045,29.622337,-95.45822,$100000,3bd,2ba,1183 sqft
8002 Virginia Water Ln,Houston,TX,77095,29.895142,-95.62354,$255000,4bd,3ba,2988 sqft
Welsh Plan in City Park,Houston,TX,77047,29.62442,-95.391075,$254990+,4bd,3ba,2371 sqft
13007 Larriston,Houston,TX,77044,29.863146,-95.208984,$206400,3bd,2ba,1869 sqft
8523 Hearth Dr #34,Houston,TX,77054,29.680416,-95.41819,$97500,3bd,2ba,1500 sqft
Aldine Plan in Bauer Park,Houston,TX,77080,29.810026,-95.52098,$309990+,3bd,3ba,1951 sqft
5826 Southseas St,Houston,TX,77033,29.67603,-95.333275,$80000,5bd,3ba,2001 sqft
7402 Alabonson Rd #701,Houston,TX,77088,29.877928,-95.48317,$50000,2bd,2ba,884 sqft
6306 Silver Chalice Dr,Houston,TX,77088,29.87261,-95.48717,$142000,3bd,2ba,1029 sqft
8006 Bonita St,Houston,TX,77016,29.833307,-95.32337,$59900,3bd,2ba,960 sqft
Lindley Plan in Bauer Park,Houston,TX,77080,29.810026,-95.52098,$319990+,3bd,3ba,2191 sqft
2205 McKinney St #306,Houston,TX,77003,29.750925,-95.35414,$199900,1bd,1ba,774 sqft
4726 Kingfisher Dr,Houston,TX,77035,29.658756,-95.457886,$314000,3bd,2ba,1400 sqft
2615 Barbara Ln,Houston,TX,77005,29.712328,-95.4191,$3865000,5bd,8ba,6638 sqft
8607 Cedar Brook Point Dr,Houston,TX,77080,29.8168,-95.5241,$327741,3bd,7ba,2211 sqft
3502 Shanemoss Ct,Houston,TX,77068,30.004667,-95.48819,$299950,4bd,4ba,3830 sqft
6115 Conlan Bay Dr,Houston,TX,77041,29.859451,-95.619545,$199900,3bd,2ba,1655 sqft
3800 Olympia Dr,Houston,TX,77019,29.747747,-95.439,$3899000,5bd,7ba,6600 sqft
6159 Yorktown Meadow Ln,Houston,TX,77084,29.867138,-95.65023,$156200,3bd,3ba,1620 sqft
1223 Creekside Acres Ct,Houston,TX,77008,29.810764,-95.42059,$399000,3bd,3ba,2280 sqft
731 Plainwood Dr,Houston,TX,77079,29.77738,-95.628975,$579900,3bd,3ba,3598 sqft
4906 Mallow St,Houston,TX,77033,29.65941,-95.350426,$179900,2bd,3ba,1570 sqft
5651 Hardwood Forest Dr,Houston,TX,77088,29.886606,-95.47203,$170900,4bd,3ba,2179 sqft
11538 Cypresswood Dr,Houston,TX,77070,29.979654,-95.593414,$247999,5bd,4ba,3446 sqft
1538 Cross Stone Ct,Houston,TX,77089,29.580633,-95.256256,$345000,5bd,4ba,3202 sqft
11219 Velvet Grass Ln,Houston,TX,77095,29.935246,-95.661415,$343000,6bd,4ba,4380 sqft
2616 Riverside Dr #C,Houston,TX,77004,29.715246,-95.37509,$314900,3bd,3ba,1505 sqft
 Clay Rd,Houston,TX,77080,29.831972,-95.5321,$517072,4bd,3ba,2569 sqft
2002 Ashgrove Dr,Houston,TX,77077,29.743984,-95.59561,$350000,5bd,4ba,3625 sqft
207 Breeds Hill Ct,Houston,TX,77024,29.759207,-95.54518,$875000,5bd,3ba,3121 sqft
1714 Corral Dr,Houston,TX,77090,30.019741,-95.46104,$187900,2bd,2ba,990 sqft
5052 Glenmont Dr #F6,Houston,TX,77081,29.720552,-95.46687,$174900,3bd,4ba,3681 sqft
1010 Stoney Hill Dr,Houston,TX,77077,29.768366,-95.636856,$379000,4bd,2ba,1504 sqft
 E West Rd,Houston,TX,77060,29.918547,-95.38772,$25000,3bd,1ba,1119 sqft
5627 Elm Tree Dr,Houston,TX,77048,29.638187,-95.33589,$131999,Studio,4ba,2016 sqft
2311 Stonecrest Dr,Houston,TX,77018,29.8149,-95.44055,$325000,3bd,3ba,3302 sqft
5417 Caplin St,Houston,TX,77026,29.815035,-95.31594,$87000,4bd,4ba,2606 sqft
6315 E Mystic Mdw,Houston,TX,77021,29.708738,-95.37922,$660000,3bd,1ba,1976 sqft
12303 Beauregard Dr,Houston,TX,77024,29.765789,-95.54463,$912500,5bd,1ba,1116 sqft
2113 Stuart St,Houston,TX,77004,29.735182,-95.36756,$294900,2bd,2ba,834 sqft
3621 Dawson Ln,Houston,TX,77051,29.654135,-95.36975,$99000,2bd,4ba,1150 sqft
7110 Brendam Ln,Houston,TX,77072,29.698895,-95.60962,$91000,5bd,6ba,3719 sqft
8237 Creekbend Dr #8237,Houston,TX,77071,29.664886,-95.5248,$79500,4bd,3ba,5410 sqft
1802 Harvard St,Houston,TX,77008,29.802216,-95.39631,$2280000,2bd,2ba,1404 sqft
211 Memorial Parkview Dr,Houston,TX,77024,29.764654,-95.551796,$2095000,3bd,1ba,1538 sqft
6563 Wanda Ln,Houston,TX,77074,29.677902,-95.506874,$92500,2bd,2ba,924 sqft
9746 Seeker St,Houston,TX,77078,29.854876,-95.272736,$139900,3bd,3ba,1768 sqft
3620 McGowen St,Houston,TX,77004,29.731766,-95.34687,$104900,4bd,2ba,1458 sqft
14927 Brightbrook Dr,Houston,TX,77095,29.904978,-95.6262,$185000,3bd,4ba,2004 sqft
