streetAddress,addressLoc,addressReg,postalCode,latitute,longitude,price,beds,baths,sqft
2527 Sumpter St,Houston,TX,77026,29.779701,-95.344124,$119000,2bd,2ba,1810 sqft
3505 Rosedale St,Houston,TX,77004,29.716246,-95.359116,$185000,3bd,4ba,2009 sqft
1914 Augusta Dr #6,Houston,TX,77057,29.746017,-95.48332,$299000,3bd,1ba,2802 sqft
1219 Kipling St,Houston,TX,77006,29.740273,-95.394516,$626000,3bd,4ba,1124 sqft
1510 Utah St,Houston,TX,77007,29.774462,-95.42315,$479900,4bd,1ba,2565 sqft
3023 Kirk St,Houston,TX,77026,29.788803,-95.32679,$22500,4bd,2ba,3619 sqft
1129 Patterson St,Houston,TX,77007,29.77183,-95.40653,$289900,4bd,3ba,2148 sqft
The Thoreau (3045) Plan in Waters Edge on Lake Houston - The Springs,Houston,TX,77044,29.9654,-95.16531,$246990+,4bd,2ba,2151 sqft
10923 Cannes Memorial,Houston,TX,77043,29.802553,-95.5711,$365600,4bd,4ba,2258 sqft
10020 Waving Grain Ln,Houston,TX,77080,29.8168,-95.5241,$458995,2bd,2ba,1728 sqft
The Florence (6012) Plan in The Pinnacle at Waters Edge on Lake Houston,Houston,TX,77044,29.96549,-95.16575,$664990+,4bd,5ba,4633 sqft
Gidding Plan in Reserve at Clear Lake City : Cambridge Collection,Houston,TX,77059,29.6122,-95.1223,$409990+,4bd,4ba,2947 sqft
4707 Glen Isle Dr,Houston,TX,77009,29.7954,-95.3682,$374456,3bd,3ba,1559 sqft
Mayfaire Plan in Reserve at Clear Lake City : Classic Kingston and Wentworth,Houston,TX,77059,29.6107,-95.1246,$525990+,4bd,3ba,3294 sqft
870 Wakefield Dr #B,Houston,TX,77018,29.821896,-95.41914,$400000,3bd,4ba,2197 sqft
Gilroy Plan in Reserve at Clear Lake City : Cambridge Collection,Houston,TX,77059,29.6122,-95.1223,$355990+,3bd,2ba,2034 sqft
5942 Nodaway Creek Ct,Houston,TX,77085,29.63838,-95.472534,$209990,4bd,2ba,1705 sqft
5441 Larkin St,Houston,TX,77007,29.778805,-95.41936,$599990,3bd,4ba,2615 sqft
620 E 39th St,Houston,TX,77022,29.821274,-95.39213,$212000,3bd,3ba,1521 sqft
2730 Meandering Elm Trail Homesite #5,Houston,TX,77045,29.6319,-95.437,$220055,3bd,3ba,1729 sqft
2710 Meandering Elm Trail Homesite #10,Houston,TX,77045,29.6319,-95.437,$242195,4bd,3ba,2214 sqft
Berkshire Plan in Reserve at Clear Lake City : Classic Kingston and Wentworth,Houston,TX,77059,29.6107,-95.1246,$506990+,4bd,4ba,3749 sqft
Birch Plan in Chapel Heights : Urban Villas Collection,Houston,TX,77018,29.8389,-95.4132,$339990+,3bd,3ba,1553 sqft
626 E 39th St,Houston,TX,77022,29.82117,-95.391624,$212000,3bd,3ba,1521 sqft
622 E 39th St,Houston,TX,77022,29.821274,-95.392105,$212000,3bd,3ba,1521 sqft
2318 Churchill Cove Ln,Houston,TX,77089,29.6153,-95.2263,$432335,4bd,3ba,3696 sqft
2405 Songlark Springs Pl,Houston,TX,77089,29.6153,-95.2263,$384995,4bd,3ba,2927 sqft
Cypress Plan in Chapel Heights : Urban Villas Collection,Houston,TX,77018,29.8389,-95.4132,$336990+,3bd,3ba,1503 sqft
4316 Feagan St #A,Houston,TX,77007,29.766338,-95.40425,$929000,4bd,4ba,2606 sqft
Taft Plan in Forbes Crossing,Houston,TX,77075,29.627373,-95.29138,Contact For Price,3bd,2ba,1516 sqft
Lincoln Plan in Forbes Crossing,Houston,TX,77075,29.627373,-95.29138,Contact For Price,3bd,3ba,2033 sqft
Kingsbury Plan in Bauer Park,Houston,TX,77080,29.810026,-95.52098,$319990+,3bd,3ba,2191 sqft
17406 Erin Way Ct,Houston,TX,77095,29.882935,-95.674576,$210000,4bd,3ba,2854 sqft
1531 Ridgebriar Dr,Houston,TX,77014,29.97141,-95.44055,$160000,4bd,3ba,2288 sqft
2120 El Paseo St #2307,Houston,TX,77054,29.68622,-95.39235,$121000,2bd,1ba,964 sqft
15727 Sweetwater Creek Dr,Houston,TX,77095,29.894054,-95.645195,$289900,4bd,4ba,3490 sqft
5041 Cedar Creek Dr,Houston,TX,77056,29.753204,-95.46457,$1588400,4bd,4ba,4439 sqft
5315 S Braeswood Blvd,Houston,TX,77096,29.676788,-95.474815,$372900,5bd,3ba,3524 sqft
4158 Lemac Dr,Houston,TX,77025,29.678709,-95.44572,$210000,5bd,3ba,1525 sqft
327 Remington Heights Dr,Houston,TX,77073,29.978163,-95.41594,$210000,2bd,3ba,3500 sqft
14723 Barryknoll Ln #98,Houston,TX,77079,29.780418,-95.60993,$152900,3bd,3ba,1326 sqft
11602 Main Cedar Dr,Houston,TX,77025,29.6907,-95.438,$284900,5bd,4ba,2068 sqft
2830 S Bartell Dr #36,Houston,TX,77054,29.681337,-95.42082,$62950,5bd,3ba,825 sqft
10202 Cathedral Dr,Houston,TX,77051,29.648209,-95.3755,$74995,3bd,3ba,1902 sqft
16327 Rapidcreek Dr,Houston,TX,77053,29.584604,-95.45792,$54203,3bd,2ba,1716 sqft
9306 Bintliff Dr,Houston,TX,77074,29.678188,-95.5049,$139500,3bd,2ba,1804 sqft
11502 Barwood Bend Dr,Houston,TX,77065,29.941893,-95.61817,$160000,3bd,4ba,2250 sqft
2217 Gano St #A,Houston,TX,77009,29.782234,-95.354935,$319900,3bd,3ba,1994 sqft
2212 Portsmouth St #B,Houston,TX,77098,29.733616,-95.413414,$474000,2bd,3ba,2256 sqft
3027 S Heights Hollow Ln,Houston,TX,77007,29.767002,-95.38994,$345000,3bd,4ba,1928 sqft
162 Oak Place Dr,Houston,TX,77006,29.751947,-95.3805,$479900,2bd,3ba,2468 sqft
4210 Eli St #B,Houston,TX,77007,29.77362,-95.40329,$424900,3bd,4ba,2386 sqft
716 Worthshire St,Houston,TX,77008,29.786062,-95.41351,$249999,2bd,2ba,1512 sqft
5805 Washington Ave,Houston,TX,77007,29.770706,-95.42056,$365000,3bd,4ba,2052 sqft
11010 Spottswood Dr,Houston,TX,77016,29.876013,-95.29092,$70800,2bd,3ba,1380 sqft
4736 Post Oak Timber Dr #5,Houston,TX,77056,29.759249,-95.45852,$899000,3bd,3ba,4221 sqft
3000 Holly Hall St #3000,Houston,TX,77054,29.685312,-95.3821,$165000,3bd,3ba,1600 sqft
1326 Flatrock Creek Dr,Houston,TX,77067,29.95656,-95.440414,$157500,4bd,3ba,2923 sqft
9309 Presidio Park Dr,Houston,TX,77080,29.810158,-95.520874,$384720,2bd,2ba,2618 sqft
15011 Summer Villa Ct,Houston,TX,77044,29.921833,-95.173294,$260000,4bd,3ba,3062 sqft
7708 S Hunters Creekway Dr,Houston,TX,77055,29.792332,-95.481606,$749000,3bd,5ba,3824 sqft
18215 Fairhope Oak Ct,Houston,TX,77084,29.81318,-95.682014,$199900,3bd,3ba,2440 sqft
4215 Freeton St,Houston,TX,77034,29.646276,-95.208855,$174900,4bd,2ba,2013 sqft
1025 W 21st St #D,Houston,TX,77008,29.805151,-95.41728,$409900,3bd,4ba,2210 sqft
8355 Leawood Blvd #8355,Houston,TX,77072,29.68722,-95.57748,$87000,2bd,2ba,1172 sqft
7410 Broken Ridge Dr,Houston,TX,77095,29.885626,-95.64156,$255000,4bd,3ba,2976 sqft
3839 Sun Valley Dr,Houston,TX,77025,29.684608,-95.43964,$455000,4bd,3ba,2782 sqft
4710 Oakshire Dr #E,Houston,TX,77027,29.737103,-95.45623,$620000,3bd,4ba,2870 sqft
8356 Jorine Dr #8356,Houston,TX,77036,29.686594,-95.54287,$58500,2bd,2ba,1024 sqft
2034 Colquitt St #A,Houston,TX,77098,29.735245,-95.409485,$598490,3bd,4ba,2901 sqft
Mesilla Plan in Southridge Crossing,Houston,TX,77048,29.60347,-95.310326,$220990+,4bd,3ba,2606 sqft
1283 El Camino Village Dr,Houston,TX,77058,29.550144,-95.10615,$205000,3bd,3ba,1998 sqft
709 Reinicke St,Houston,TX,77007,29.768564,-95.418,$418500,3bd,4ba,2316 sqft
11918 Cedarcliff Dr,Houston,TX,77070,29.948313,-95.57077,$189000,4bd,2ba,2173 sqft
13831 Cane Valley Ct,Houston,TX,77044,29.920633,-95.16017,$228000,3bd,2ba,2538 sqft
240 Wilcrest Dr #240,Houston,TX,77042,29.75838,-95.57871,$185900,2bd,3ba,1740 sqft
5713 Kansas St,Houston,TX,77007,29.781721,-95.424965,$449900,4bd,5ba,2534 sqft
1639 Crestdale Dr,Houston,TX,77080,29.802126,-95.53111,$250000,3bd,2ba,1754 sqft
3119 Elkdale Dr,Houston,TX,77082,29.725348,-95.65683,$212900,5bd,2ba,2248 sqft
13919 Hollowgreen Dr,Houston,TX,77082,29.730814,-95.634415,$129000,2bd,3ba,1460 sqft
6402 Del Monte Dr #53,Houston,TX,77057,29.746193,-95.4986,$144900,2bd,2ba,1000 sqft
8962 Chatsworth Dr,Houston,TX,77024,29.781214,-95.462364,$224900,2bd,3ba,1600 sqft
ANNIVERSARY 16763I Plan in CLAYTON HOMES-HOUSTON,Houston,TX,77017,29.661667,-95.25565,$61606+,3bd,2ba,1216 sqft
Plan 3353 in Lakewood Pines Preserve,Houston,TX,77044,29.945108,-95.17625,$250995+,4bd,4ba,3353 sqft
Plan 4811 Modeled in Lakewood Pines Estates,Houston,TX,77044,29.943186,-95.17477,$345995+,5bd,5ba,4811 sqft
5815 Brierley Ln,Houston,TX,77084,29.86229,-95.66231,$234900,4bd,4ba,3630 sqft
EUPHORIA Plan in CLAYTON HOMES-HOUSTON,Houston,TX,77017,29.661667,-95.25565,$40016+,3bd,2ba,924 sqft
Plan 1442 in Rancho Verde,Houston,TX,77049,29.8174,-95.133,$178990+,3bd,2ba,1442 sqft
7226 Hershe St,Houston,TX,77020,29.778488,-95.29696,$99999,5bd,3ba,1224 sqft
9711 Raisbeck Pl,Houston,TX,77044,29.8955,-95.1851,$196490,4bd,4ba,2141 sqft
432 Marshall St,Houston,TX,77006,29.739635,-95.38321,$889900,4bd,4ba,2742 sqft
2106 Stonewalk Dr,Houston,TX,77056,29.74553,-95.468666,$774900,3bd,2ba,3864 sqft
2615 Arbor St,Houston,TX,77004,29.722595,-95.37099,$299000,3bd,2ba,3031 sqft
11035 Sagehill Dr,Houston,TX,77089,29.594677,-95.22293,$119900,3bd,2ba,1482 sqft
Plan 2398 in Lakewood Pines Preserve,Houston,TX,77044,29.945108,-95.17625,$217995+,5bd,3ba,2398 sqft
1927 Thonig Rd,Houston,TX,77055,29.805807,-95.47776,$319900,4bd,2ba,1964 sqft
Plan 3028 in Lakewood Pines Preserve,Houston,TX,77044,29.945108,-95.17625,$241995+,1bd,4ba,3109 sqft
9550 Deering Dr #103,Houston,TX,77036,29.679024,-95.551994,$38500,5bd,3ba,730 sqft
5341 Nolda St #A,Houston,TX,77007,29.776085,-95.41772,$464000,4bd,3ba,2680 sqft
9703 Runnymeade Dr,Houston,TX,77096,29.675117,-95.46759,$290000,4bd,2ba,3315 sqft
1417 W 21st St #B,Houston,TX,77008,29.80494,-95.42434,$498000,4bd,3ba,3013 sqft
13903 Charlynn Oaks Dr,Houston,TX,77070,29.979628,-95.54886,$174500,3bd,4ba,2489 sqft
Plan 2625 in Lakewood Pines Estates,Houston,TX,77044,29.943186,-95.17477,$239495+,3bd,4ba,2625 sqft
12625 Memorial Dr #166,Houston,TX,77024,29.762707,-95.55466,$415000,3bd,3ba,2342 sqft
9566 Spiralwood Ln,Houston,TX,77086,29.919662,-95.49619,$37621,3bd,2ba,1484 sqft
Mesilla Plan in Retreat at Champions Landing,Houston,TX,77069,29.995361,-95.50516,$218990+,4bd,3ba,2606 sqft
7703 Satsuma St,Houston,TX,77023,29.720675,-95.29014,$215000,3bd,1ba,1565 sqft
12710 Riva Ridge Ln,Houston,TX,77071,29.638323,-95.51643,Contact For Estimate,3bd,2ba,1198 sqft
13204 Trail Hollow Dr,Houston,TX,77079,29.780542,-95.564476,$235000,2bd,3ba,1872 sqft
5323 Kiam St #B,Houston,TX,77007,29.781181,-95.417206,$382500,3bd,4ba,2196 sqft
936 Memorial Village Dr #41,Houston,TX,77024,29.779484,-95.534004,$339000,3bd,3ba,1949 sqft
4126 Rosebank Dr,Houston,TX,77084,29.832848,-95.68087,$269900,4bd,3ba,3596 sqft
14514 Old Tybee Rd,Houston,TX,77084,29.859133,-95.627716,$220000,4bd,3ba,2963 sqft
4416 Mandell St,Houston,TX,77006,29.733013,-95.399704,$469000,3bd,3ba,2163 sqft
5503 Island Breeze Dr,Houston,TX,77041,29.847885,-95.600334,$275000,4bd,3ba,2561 sqft
2200 Willowick Rd #12B,Houston,TX,77027,29.745426,-95.442245,$449500,2bd,2ba,1450 sqft
14118 Woodnook Dr,Houston,TX,77077,29.765078,-95.63557,$269000,3bd,2ba,1921 sqft
911 W 24th St,Houston,TX,77008,29.808062,-95.41481,$384900,3bd,4ba,1949 sqft
6601 Sands Point Dr #73,Houston,TX,77074,29.710499,-95.49938,$89500,1bd,1ba,933 sqft
7 Woodstone St,Houston,TX,77024,29.754463,-95.54456,$750000,3bd,4ba,3291 sqft
Aldine Plan in Provence Memorial,Houston,TX,77043,29.802647,-95.56998,$306990+,3bd,3ba,1951 sqft
Magnolia Plan in Neumann Oaks : Urban Villas Collection,Houston,TX,77018,29.8389,-95.4129,$339990+,3bd,3ba,1627 sqft
176 Reinicke St,Houston,TX,77007,29.762415,-95.41735,$449900,2bd,3ba,2347 sqft
1519 Aldana Pl,Houston,TX,77055,29.7975,-95.4941,$652971,4bd,4ba,2901 sqft
1515 Aldana Pl,Houston,TX,77055,29.7975,-95.4941,$652259,4bd,4ba,2901 sqft
9530 Emnora Ln,Houston,TX,77080,29.8157,-95.52895,$209900,3bd,2ba,1506 sqft
1406 Columbus St #102,Houston,TX,77019,29.754646,-95.39158,$279000,1bd,2ba,1206 sqft
1111 Rosemeadow Dr,Houston,TX,77094,29.772644,-95.71413,$316500,4bd,2ba,2457 sqft
1723 W 14th St #D,Houston,TX,77008,29.796072,-95.413826,$349900,3bd,3ba,1823 sqft
12947 Ambrose St,Houston,TX,77045,29.639349,-95.4224,$129500,4bd,2ba,1200 sqft
12931 Trail Hollow Dr #2931,Houston,TX,77079,29.778812,-95.56476,$299990,3bd,3ba,2016 sqft
2111 Welch St #A312,Houston,TX,77019,29.74798,-95.41129,$239500,1bd,1ba,995 sqft
5234 Ripplebrook Dr,Houston,TX,77045,29.62581,-95.46058,$129997,4bd,1ba,998 sqft
14018 Loramie Creek Ct,Houston,TX,77044,29.966297,-95.15644,$399900,4bd,5ba,4447 sqft
1322 Bartlett Cove Dr,Houston,TX,77067,29.955116,-95.44039,$181500,3bd,3ba,2792 sqft
10206 Knob Mountain Trl,Houston,TX,77016,29.861927,-95.280495,$126141,4bd,3ba,2432 sqft
11807 Madison Kendall Ln,Houston,TX,77066,29.950417,-95.49527,$199000,4bd,3ba,2479 sqft
5244 Larkin St,Houston,TX,77007,29.77929,-95.41465,$449900,3bd,2ba,2261 sqft
307 E 26th St,Houston,TX,77008,29.810802,-95.39555,$400000,3bd,1ba,1196 sqft
4823 Beau Ln,Houston,TX,77039,29.900953,-95.31955,$120000,4bd,1ba,1098 sqft
5919 W Harrow Dr,Houston,TX,77084,29.863434,-95.66489,$185000,3bd,2ba,1597 sqft
12706 Lilac Stone Ct,Houston,TX,77044,29.865831,-95.20444,$180990,3bd,3ba,1798 sqft
4051 Leeland St,Houston,TX,77023,29.737993,-95.34113,$295000,2bd,3ba,1437 sqft
863 Sara Rose St,Houston,TX,77018,29.819536,-95.419106,$355000,3bd,2ba,1518 sqft
THE ANNIVERSARY 16 Plan in CLAYTON HOMES-HOUSTON,Houston,TX,77017,29.661667,-95.25565,$61948+,3bd,2ba,1216 sqft
ABSOLUTE VALUE Plan in CLAYTON HOMES-HOUSTON,Houston,TX,77017,29.661667,-95.25565,$96735+,4bd,2ba,2128 sqft
Plan 2936 Modeled in Lakewood Pines Preserve,Houston,TX,77044,29.945108,-95.17625,$232995+,4bd,3ba,2936 sqft
18603 Point Lookout Dr,Houston,TX,77058,29.539438,-95.090195,$370000,4bd,3ba,2957 sqft
1407 Grand Valley Dr,Houston,TX,77090,30.025705,-95.45931,Contact For Estimate,4bd,3ba,3070 sqft
939 Colorado St #13,Houston,TX,77007,29.767101,-95.37482,$320000,3bd,3ba,2088 sqft
The Paxton (S103) Plan in Spring Brook Village - Townhome Collection,Houston,TX,77080,29.827637,-95.541275,Contact For Price,3bd,3ba,1771 sqft
2600 N Main St,Houston,TX,77009,29.783628,-95.36492,$350000,3bd,2ba,9551 sqft
3417 Anita St,Houston,TX,77004,29.730879,-95.351746,$95000,3bd,3ba,5000 sqft
3515 Dennis St,Houston,TX,77004,29.73188,-95.348175,$109900,5bd,5ba,5000 sqft
4013 Falls St,Houston,TX,77026,29.797247,-95.33072,$29995,1bd,1ba,5000 sqft
Abbeyville Plan in Somerset Green,Houston,TX,77055,29.78444,-95.440506,$612995+,3bd,5ba,2901 sqft
Ashburn Plan in Somerset Green,Houston,TX,77055,29.78444,-95.440506,$619995+,3bd,4ba,2936 sqft
14606 Sierra Garden Dr,Houston,TX,77069,29.995653,-95.50752,$229990,4bd,3ba,2606 sqft
Kisko Plan in Retreat at Champions Landing,Houston,TX,77069,29.995361,-95.50516,$205990+,3bd,2ba,2312 sqft
1031 Daria Dr,Houston,TX,77079,29.770731,-95.639725,$499000,4bd,3ba,3585 sqft
12903 Ciceter Rd,Houston,TX,77039,29.908987,-95.31782,$139800,3bd,2ba,2200 sqft
1110 Ivy Wall Dr,Houston,TX,77079,29.770233,-95.64068,$450900,4bd,4ba,3373 sqft
9410 Dandy St,Houston,TX,77016,29.84756,-95.31158,$44900,2bd,1ba,928 sqft
16003 Juniper Grove Dr,Houston,TX,77084,29.84314,-95.641846,$199000,3bd,3ba,2328 sqft
4118 Bethel Blvd,Houston,TX,77092,29.828714,-95.47697,$259900,4bd,2ba,1984 sqft
4114 Portsmouth Ave,Houston,TX,77027,29.731743,-95.44358,$1300000,4bd,4ba,5016 sqft
9021 Freeland St,Houston,TX,77075,29.639517,-95.25561,$58900,3bd,3ba,1545 sqft
15027 Kimberley Ct #9,Houston,TX,77079,29.773802,-95.61832,$284800,3bd,2ba,1904 sqft
110 Plantation Rd,Houston,TX,77024,29.75477,-95.54175,$699000,4bd,4ba,2980 sqft
1515 Weber St #C,Houston,TX,77007,29.777025,-95.373245,$399900,3bd,3ba,2154 sqft
5122 Pine Cliff Dr,Houston,TX,77084,29.851116,-95.630325,$165000,4bd,3ba,2447 sqft
4719 Rue St,Houston,TX,77033,29.649984,-95.35453,$17500,3bd,3ba,5600 sqft
7618 Fieldstone Ct,Houston,TX,77095,29.896584,-95.661255,$195000,3bd,2ba,2145 sqft
12342 Kings Meadow Dr,Houston,TX,77044,29.90043,-95.22319,$175900,4bd,3ba,1224 sqft
 E 32nd St,Houston,TX,77022,29.815428,-95.39059,$90000,4bd,3ba,3543 sqft
12903 Waters Edge Pl,Houston,TX,77041,29.84613,-95.60431,$439900,3bd,3ba,1876 sqft
3839 Aurora Mist Ln,Houston,TX,77053,29.601145,-95.43572,Contact For Estimate,3bd,2ba,2455 sqft
12503 Fox Trace Ln,Houston,TX,77066,29.960558,-95.49025,Contact For Estimate,3bd,2ba,1650 sqft
8021 Colonial Ln,Houston,TX,77051,29.674856,-95.36856,$197000,4bd,5ba,1600 sqft
11102 Clearfield Dr,Houston,TX,77044,29.876274,-95.153015,Contact For Estimate,4bd,3ba,6076 sqft
7142 Moss Rose St,Houston,TX,77087,29.707642,-95.290474,$349450,3bd,2ba,2751 sqft
7504 Sandle St,Houston,TX,77088,29.868635,-95.435715,$33000,2bd,3ba,1408 sqft
15406 Roaming River Trl,Houston,TX,77044,29.8335,-95.2212,$230162,3bd,2ba,2046 sqft
600 Wilcrest Dr #54,Houston,TX,77042,29.759026,-95.57684,$179900,6bd,5ba,1152 sqft
8205 Moon Beam St,Houston,TX,77088,29.875313,-95.447845,$47000,6bd,6ba,1186 sqft
 Arvin St,Houston,TX,77028,29.84885,-95.2693,$32000,4bd,5ba,2528 sqft
THE BREEZE Plan in CLAYTON HOMES-HOUSTON,Houston,TX,77017,29.661667,-95.25565,$52316+,3bd,2ba,3676 sqft
5122 Winnetka St,Houston,TX,77021,29.70828,-95.33302,$228900,3bd,2ba,5585 sqft
1049 W 17th St,Houston,TX,77008,29.800903,-95.417534,$435000,4bd,3ba,4042 sqft
2618 Enclave At Shady Acres Ct,Houston,TX,77008,29.810593,-95.42117,$374900,3bd,4ba,2562 sqft
2405 Commonwealth St,Houston,TX,77006,29.747276,-95.39604,$580000,3bd,5ba,3015 sqft
1258 N Post Oak Rd #B,Houston,TX,77055,29.795319,-95.45692,$419000,3bd,4ba,2138 sqft
407 E Fair Harbor Ln,Houston,TX,77079,29.78031,-95.63256,$272900,2bd,2ba,1828 sqft
12215 Greensbrook Forest Dr,Houston,TX,77044,29.892202,-95.21733,$104500,4bd,3ba,1539 sqft
3501 Link Valley Dr #703,Houston,TX,77025,29.676474,-95.43275,$225000,2bd,2ba,1578 sqft
3506 Braewin Ct,Houston,TX,77068,30.005228,-95.488884,$246400,5bd,4ba,3620 sqft
1317 Bingham St,Houston,TX,77007,29.771563,-95.37088,$449990,3bd,3ba,2454 sqft
7410 Lavender St,Houston,TX,77016,29.827085,-95.319984,$19900,2bd,1ba,636 sqft
9627 Clanton St,Houston,TX,77080,29.831097,-95.53046,$282000,4bd,2ba,1956 sqft
6521 Kassarine Pass,Houston,TX,77033,29.685703,-95.33414,$27600,3bd,3ba,1000 sqft
987 S Post Oak Ln,Houston,TX,77056,29.758629,-95.46277,$750000,2bd,3ba,3472 sqft
3917 Tulane St,Houston,TX,77018,29.823008,-95.40219,$279900,2bd,3ba,1498 sqft
664 Wilcrest Dr #664,Houston,TX,77042,29.75838,-95.57871,$172000,3bd,3ba,1740 sqft
Kingsbury Plan in Provence Memorial,Houston,TX,77043,29.802647,-95.56998,$316990+,3bd,3ba,2191 sqft
Lindley Plan in Provence Memorial,Houston,TX,77043,29.802647,-95.56998,$316990+,4bd,2ba,2191 sqft
Granville Plan in Retreat at Champions Landing,Houston,TX,77069,29.995361,-95.50516,$210990+,1bd,1ba,2458 sqft
11711 Memorial Dr #388,Houston,TX,77024,29.753056,-95.528786,$112900,4bd,3ba,622 sqft
20907 Brushy Canyon Dr,Houston,TX,77073,29.997553,-95.41548,$165000,4bd,2ba,2437 sqft
4021 Woodfox St,Houston,TX,77025,29.668594,-95.44104,$284900,3bd,2ba,2117 sqft
10702 Jaycreek Dr,Houston,TX,77070,29.97882,-95.58124,$64900,4bd,3ba,2516 sqft
14806 Chetland Place Dr,Houston,TX,77095,29.89748,-95.6317,$210000,3bd,3ba,2490 sqft
3807 Billingsley St #A,Houston,TX,77009,29.795038,-95.36208,$359900,3bd,4ba,1827 sqft
3807 Billingsley St,Houston,TX,77009,29.795038,-95.36208,$359900,3bd,4ba,1827 sqft
9303 Bauer Vista Dr,Houston,TX,77080,29.810553,-95.52059,$373360,4bd,3ba,2258 sqft
9307 Bauer Vista Dr,Houston,TX,77080,29.810547,-95.52078,$362850,4bd,2ba,2258 sqft
1713 Drew St,Houston,TX,77004,29.740452,-95.36844,$315000,2bd,4ba,1990 sqft
1806 Wilson St,Houston,TX,77019,29.752476,-95.38141,$364900,3bd,3ba,2436 sqft
10510 Bassoon Dr,Houston,TX,77025,29.66674,-95.44536,$185000,2bd,2ba,1526 sqft
5220 Weslayan St #111,Houston,TX,77005,29.725702,-95.44224,$230000,2bd,1ba,1255 sqft
14515 Wunderlich Dr #904,Houston,TX,77069,29.990768,-95.51047,Contact For Estimate,2bd,2ba,1223 sqft
5807 Beverlyhill St #32,Houston,TX,77057,29.729946,-95.48111,$140000,2bd,3ba,1296 sqft
5343 Richmond Ave #13,Houston,TX,77056,29.731102,-95.47011,$100000,2bd,2ba,885 sqft
1014 Press St,Houston,TX,77020,29.771286,-95.32831,$150000,2bd,2ba,5000 sqft
1511 Alamo St,Houston,TX,77007,29.776371,-95.373245,$275000,4bd,2ba,4250 sqft
4107 Laura Koppe Rd,Houston,TX,77093,29.840809,-95.32897,$65000,3bd,4ba,19200 sqft
108 Amundsen St,Houston,TX,77009,29.800547,-95.37126,$250000,5bd,2ba,5250 sqft
16614 Great Oaks Glen Dr,Houston,TX,77083,29.704962,-95.680954,$109488,4bd,3ba,2149 sqft
13834 Hallfield Dr,Houston,TX,77014,29.969921,-95.442116,$139900,2bd,4ba,1828 sqft
4406 Sterling St,Houston,TX,77051,29.668577,-95.36175,$26000,3bd,2ba,4100 sqft
1407 Ella Cir,Houston,TX,77090,30.027206,-95.46036,Contact For Estimate,3bd,4ba,3827 sqft
1405 W 26th St,Houston,TX,77008,29.810106,-95.42456,$387000,2bd,1ba,2534 sqft
1505 Reinerman St,Houston,TX,77007,29.774296,-95.4137,$415000,4bd,4ba,2707 sqft
The Holly (4004) Plan in Riverstone Ranch - The Manor - Estate,Houston,TX,77089,29.57169,-95.2475,Contact For Price,2bd,2ba,2295 sqft
4208 Childress St,Houston,TX,77005,29.726917,-95.44499,$665000,4bd,2ba,3419 sqft
4109 Sayers St,Houston,TX,77026,29.798267,-95.33154,$37999,5bd,1ba,2114 sqft
351 N Post Oak Ln #801,Houston,TX,77024,29.774591,-95.458374,$159900,1bd,3ba,894 sqft
Plan 3306 in Lakewood Pines Estates,Houston,TX,77044,29.943186,-95.17477,$260995+,4bd,3ba,3306 sqft
16419 Crossfield Dr,Houston,TX,77095,29.900873,-95.65825,$225000,4bd,2ba,2630 sqft
12534 Rocky Knoll Dr,Houston,TX,77077,29.744339,-95.603615,$280000,3bd,2ba,2227 sqft
4321 Center St,Houston,TX,77007,29.770987,-95.405045,$399000,4bd,1ba,2210 sqft
2701 Bellefontaine St #A34,Houston,TX,77025,29.702663,-95.42073,$118000,1bd,5ba,837 sqft
5855 E Post Oak Ln,Houston,TX,77055,29.7916,-95.4569,$549900,4bd,3ba,2865 sqft
1009 W 17th St,Houston,TX,77008,29.800825,-95.41683,$389990,3bd,4ba,2166 sqft
953 W 17th St,Houston,TX,77008,29.800833,-95.41548,$389990,3bd,4ba,2166 sqft
5108 Fairmont St,Houston,TX,77005,29.724953,-95.44482,$475000,3bd,1ba,1962 sqft
904 Harrington St,Houston,TX,77009,29.775093,-95.35802,$175000,3bd,4ba,1148 sqft
15423 Ripplestream St,Houston,TX,77068,30.003736,-95.49713,$187500,4bd,2ba,2244 sqft
Plan 2325 in Lakewood Pines Estates,Houston,TX,77044,29.943186,-95.17477,$232495+,3bd,3ba,2325 sqft
6811 Seinfeld Ct,Houston,TX,77069,29.978348,-95.53767,$242900,4bd,3ba,2760 sqft
614 Caitlyn Ct,Houston,TX,77094,29.777534,-95.69887,$300000,4bd,2ba,2927 sqft
1740 Bevis St,Houston,TX,77008,29.801249,-95.421425,$295000,2bd,4ba,1985 sqft
12595 Piping Rock Dr,Houston,TX,77077,29.73984,-95.60506,$284500,3bd,2ba,2208 sqft
2663 Marilee Ln,Houston,TX,77057,29.73948,-95.49785,$105000,2bd,3ba,1088 sqft
6430 Creekbend Dr,Houston,TX,77096,29.665302,-95.50334,$114000,3bd,1ba,1656 sqft
140 E 45th St,Houston,TX,77018,29.826723,-95.397736,$169000,2bd,1ba,868 sqft
5210 Weslayan St #205,Houston,TX,77005,29.725702,-95.44224,$195000,2bd,4ba,992 sqft
818 Thornbranch Dr,Houston,TX,77079,29.776794,-95.61314,$549000,5bd,3ba,3873 sqft
3925 Tulane St,Houston,TX,77018,29.8228,-95.40201,$279900,2bd,4ba,1498 sqft
1254 N Post Oak Rd #C,Houston,TX,77055,29.795301,-95.45692,$429000,3bd,4ba,2190 sqft
